leg,cart_offset,length,dest,mode,above_16m
testmenu2,0x00800000,0x800,0x0c06fba0,DMA,0
2p-stages,0x00800000,0x800,0x0c193f60,DMA,0
2p-stages,0x00808000,0x800,0x0dfe6d20,DMA,1
2p-stages,0x0080a000,0x800,0x0dfe6d20,DMA,1
2p-stages,0x0080a800,0x800,0x0dfe6d20,DMA,1
2p-stages,0x0080b000,0x800,0x0dfe6d20,DMA,1
2p-stages,0x0080b800,0x800,0x0dfe6d20,DMA,1
2p-stages,0x0080c000,0x800,0x0dfe6d20,DMA,1
2p-stages,0x0080c800,0x800,0x0dfe6d20,DMA,1
2p-stages,0x0080d000,0x800,0x0dfe6d20,DMA,1
2p-stages,0x0080d800,0x800,0x0dfe6d20,DMA,1
2p-stages,0x0080e000,0x800,0x0dfe6d20,DMA,1
2p-stages,0x0080e800,0x800,0x0dfe6d20,DMA,1
2p-stages,0x0080f000,0x800,0x0dfe6d20,DMA,1
2p-stages,0x0080f800,0x800,0x0dfe6d20,DMA,1
2p-stages,0x00810000,0x800,0x0dfe6d20,DMA,1
2p-stages,0x00810800,0x800,0x0dfe6d20,DMA,1
2p-stages,0x00811000,0x800,0x0dfe6d20,DMA,1
2p-stages,0x00811800,0x800,0x0dfe6d20,DMA,1
2p-stages,0x00812000,0x800,0x0dfe6d20,DMA,1
2p-stages,0x00812800,0x800,0x0dfe6d20,DMA,1
2p-stages,0x00813000,0x800,0x0dfe6d20,DMA,1
2p-stages,0x00813800,0x800,0x0dfe6d20,DMA,1
2p-stages,0x00814000,0x800,0x0dfe6d20,DMA,1
2p-stages,0x00814800,0x800,0x0dfe6d20,DMA,1
2p-stages,0x00815000,0x800,0x0dfe6d20,DMA,1
char-fabian,0x00956000,0x6800,0x0ddc2960,DMA,1
char-fabian,0x0095c800,0x5800,0x0dd7d020,DMA,1
char-lili,0x00984800,0xc000,0x0ddc2960,DMA,1
char-mika,0x009d2000,0xc800,0x0ddc2960,DMA,1
2p-stages,0x00a3a000,0xd000,0x0dc278a0,DMA,1
2p-stages,0x00a3a000,0xd000,0x0dc27b00,DMA,1
2p-stages,0x00a3a000,0xd000,0x0dc27b40,DMA,1
2p-stages,0x00a3a000,0xd000,0x0dc27d00,DMA,1
char-baek,0x01740000,0x9800,0x0ddc2960,DMA,1
attract,0x01761800,0x7800,0x0ddc2960,DMA,1
char-baek,0x01769000,0xa800,0x0ddc2960,DMA,1
char-baek,0x01773800,0x8800,0x0ddc2960,DMA,1
char-baek,0x0177c000,0x4800,0x0ddc2960,DMA,1
char-baek,0x01780800,0x9000,0x0ddc2960,DMA,1
char-cuilan,0x01938800,0x9000,0x0dd7d020,DMA,1
char-cuilan,0x01941800,0x2800,0x0dd7d020,DMA,1
char-cuilan,0x01944000,0x9000,0x0dd7d020,DMA,1
char-cuilan,0x0194d000,0x6000,0x0dd7d020,DMA,1
char-cuilan,0x01953000,0xc800,0x0dd7d020,DMA,1
char-cuilan,0x0195f800,0x4000,0x0dd89820,DMA,1
2p-stages,0x01ac0800,0xc800,0x0de4dbe0,DMA,1
2p-stages,0x01acd000,0x31000,0x0de5a3e0,DMA,1
